,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps,cluster
0,0,33,13,60.0,60,60,13.475,41.597,0.615,0
1,0,46,6,342.0,342,342,10.158,13.957,5.08,0
2,1,1,205,144.341,290,102,0.966,8.932,0.0,0
3,1,2,172,124.233,158,106,1.145,4.155,0.0,0
4,1,3,348,133.793,270,98,0.583,4.208,0.0,0
5,1,6,221,145.584,274,102,0.912,7.555,0.0,0
6,1,7,11551,216.462,983,60,0.018,0.192,0.0,0
7,1,8,69,83.333,96,74,2.888,10.855,0.0,0
8,1,11,18,81.944,83,76,8.751,30.516,0.44,0
9,1,15,74,132.432,162,102,2.742,5.594,0.1,0
10,1,16,66,130.97,162,102,3.076,5.71,0.01,0
11,1,17,27,64.667,66,62,3.427,19.032,0.086,0
12,1,18,242,137.835,270,98,0.83,6.046,0.0,0
13,1,19,118,125.864,158,110,1.651,6.911,0.0,0
14,1,20,243,138.658,274,114,0.814,6.388,0.0,0
15,1,21,214,144.355,274,102,0.944,7.183,0.0,0
16,1,22,4097,134.824,286,118,0.049,3.601,0.0,0
17,1,23,2,60.0,60,60,0.295,0.295,0.295,0
18,1,27,123,129.122,162,102,1.642,6.229,0.0,0
19,1,28,313,143.981,294,98,0.625,6.703,0.0,0
20,1,29,575,145.13,290,130,0.353,1.297,0.0,0
21,1,30,231,140.355,274,102,0.873,6.316,0.0,0
22,1,31,374,133.016,270,102,0.52,5.915,0.0,0
23,1,32,242,144.38,294,102,0.835,5.614,0.0,0
24,1,47,2582,179.507,195,106,0.078,0.94,0.0,0
25,1,48,10,64.4,66,62,5.679,17.932,1.099,0
26,1,51,202,149.089,274,114,0.97,7.785,0.0,0
27,1,52,19,158.526,571,60,10.015,141.036,0.001,2
28,1,53,233,139.991,274,102,0.851,7.837,0.0,0
29,1,54,62306,161.367,482,118,0.003,0.109,0.0,0
30,1,66,22,91.182,304,60,2.714,42.704,0.0,0
31,1,67,182,124.066,158,98,1.112,5.438,0.0,0
32,1,68,277,176.625,1454,60,0.725,2.506,0.0,0
33,1,69,281,125.772,162,106,0.716,6.065,0.0,0
