,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps
0,0.0.0.0,224.0.0.1,13,60.0,60,60,13.475,41.597,0.615
1,0.0.0.0,255.255.255.255,6,342.0,342,342,10.158,13.957,5.08
2,10.200.0.130,105.159.18.7,205,144.341,290,102,0.966,8.932,0.0
3,10.200.0.130,119.39.240.90,172,124.233,158,106,1.145,4.155,0.0
4,10.200.0.130,128.92.92.124,348,133.793,270,98,0.583,4.208,0.0
5,10.200.0.130,148.244.221.22,221,145.584,274,102,0.912,7.555,0.0
6,10.200.0.130,172.18.226.121,11551,216.462,983,60,0.018,0.192,0.0
7,10.200.0.130,172.20.0.148,69,83.333,96,74,2.888,10.855,0.0
8,10.200.0.130,172.20.1.148,18,81.944,83,76,8.751,30.516,0.44
9,10.200.0.130,177.190.80.211,74,132.432,162,102,2.742,5.594,0.1
10,10.200.0.130,178.139.98.127,66,130.97,162,102,3.076,5.71,0.01
11,10.200.0.130,18.196.193.167,27,64.667,66,62,3.427,19.032,0.086
12,10.200.0.130,188.240.171.66,242,137.835,270,98,0.83,6.046,0.0
13,10.200.0.130,188.85.170.50,118,125.864,158,110,1.651,6.911,0.0
14,10.200.0.130,195.146.129.36,243,138.658,274,114,0.814,6.388,0.0
15,10.200.0.130,195.77.90.146,214,144.355,274,102,0.944,7.183,0.0
16,10.200.0.130,197.230.3.138,4097,134.824,286,118,0.049,3.601,0.0
17,10.200.0.130,2.18.230.189,2,60.0,60,60,0.295,0.295,0.295
18,10.200.0.130,200.61.225.74,123,129.122,162,102,1.642,6.229,0.0
19,10.200.0.130,213.233.70.5,313,143.981,294,98,0.625,6.703,0.0
20,10.200.0.130,213.4.210.241,575,145.13,290,130,0.353,1.297,0.0
21,10.200.0.130,213.81.158.76,231,140.355,274,102,0.873,6.316,0.0
22,10.200.0.130,218.104.39.10,374,133.016,270,102,0.52,5.915,0.0
23,10.200.0.130,223.71.132.50,242,144.38,294,102,0.835,5.614,0.0
24,10.200.0.130,3.121.184.27,2582,179.507,195,106,0.078,0.94,0.0
25,10.200.0.130,3.123.241.211,10,64.4,66,62,5.679,17.932,1.099
26,10.200.0.130,31.30.6.114,202,149.089,274,114,0.97,7.785,0.0
27,10.200.0.130,40.115.19.176,19,158.526,571,60,10.015,141.036,0.001
28,10.200.0.130,46.26.120.122,233,139.991,274,102,0.851,7.837,0.0
29,10.200.0.130,5.249.120.14,62306,161.367,482,118,0.003,0.109,0.0
30,10.200.0.130,54.93.159.191,22,91.182,304,60,2.714,42.704,0.0
31,10.200.0.130,58.17.243.50,182,124.066,158,98,1.112,5.438,0.0
32,10.200.0.130,59.42.52.154,277,176.625,1454,60,0.725,2.506,0.0
33,10.200.0.130,61.161.234.10,281,125.772,162,106,0.716,6.065,0.0
34,10.200.0.130,70.91.248.233,652,132.245,162,118,0.31,4.381,0.0
35,10.200.0.130,77.224.241.97,217,141.576,274,102,0.925,8.989,0.0
