,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps,cluster
125,76,87,2,230.0,230,230,40.043,40.043,40.043,1
126,76,88,2,55.0,55,55,45.02,45.02,45.02,1
127,76,89,2,55.0,55,55,45.048,45.048,45.048,1
128,76,97,4,83.0,112,54,13.385,39.971,0.089,0
129,76,103,58,1070.81,1514,54,0.013,0.271,0.0,0
130,76,106,2,55.0,55,55,45.036,45.036,45.036,1
131,76,116,14,158.214,341,54,1.201,15.136,0.01,0
132,76,123,5,106.8,306,54,7.455,29.725,0.011,0
133,77,68,1,60.0,60,60,-1.0,-1.0,-1.0,0
134,78,68,18,694.0,694,694,1.267,4.757,0.118,0
135,79,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
136,80,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
137,81,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
138,81,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
139,82,71,1,276.0,276,276,-1.0,-1.0,-1.0,0
140,83,71,2,277.0,277,277,60.026,60.026,60.026,1
141,84,71,2,276.0,276,276,60.023,60.023,60.023,1
142,85,71,1,277.0,277,277,-1.0,-1.0,-1.0,0
143,86,71,1,277.0,277,277,-1.0,-1.0,-1.0,0
144,87,71,1,276.0,276,276,-1.0,-1.0,-1.0,0
145,88,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
146,89,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
147,90,26,7,113.571,243,92,8.402,41.93,0.75,0
148,90,58,10,64.8,66,60,5.263,39.479,0.0,0
149,91,68,2,60.0,60,60,18.501,18.501,18.501,0
150,92,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
151,93,57,25,175.0,226,117,1.036,15.661,0.0,0
152,94,57,21,237.905,330,60,3.123,18.843,0.0,0
153,95,60,2,60.0,60,60,2.604,2.604,2.604,0
154,95,64,1,130.0,130,130,-1.0,-1.0,-1.0,0
155,95,65,7,126.0,126,126,10.334,11.001,10.0,0
156,96,26,2,259.5,269,250,0.0,0.0,0.0,0
157,96,61,1,60.0,60,60,-1.0,-1.0,-1.0,0
158,97,57,19,161.368,222,60,2.592,22.141,0.0,0
159,98,57,3,159.0,159,159,20.023,20.086,19.959,1
160,99,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
161,100,61,1,60.0,60,60,-1.0,-1.0,-1.0,0
162,101,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
163,102,58,2,60.0,60,60,2.495,2.495,2.495,0
164,103,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
165,104,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
166,105,62,3,60.0,60,60,28.465,41.343,15.586,1
167,106,37,1,66.0,66,66,-1.0,-1.0,-1.0,0
168,107,37,10,76.1,118,60,5.673,35.259,0.0,0
169,108,37,15,146.6,222,66,4.664,24.977,0.017,0
170,109,37,1,87.0,87,87,-1.0,-1.0,-1.0,0
171,110,25,10,440.9,1514,60,0.02,0.067,0.0,0
172,111,37,10,442.8,1406,60,0.021,0.054,0.0,0
173,112,37,3,88.0,99,66,30.08,60.054,0.106,1
174,113,37,3,60.0,60,60,0.557,0.559,0.556,0
175,114,25,10,442.8,1514,60,0.02,0.076,0.0,0
176,114,37,59,254.644,1406,60,0.235,9.382,0.0,0
177,115,37,4,72.5,85,60,0.92,2.76,0.0,0
178,116,56,27,61.852,62,60,2.554,3.054,1.016,0
179,117,56,26,62.0,62,62,2.67,2.981,2.426,0
180,117,59,8,90.0,90,90,9.383,9.534,9.101,0
181,118,0,2,60.0,60,60,0.124,0.124,0.124,0
182,118,2,118,861.771,1406,60,0.548,6.359,0.0,0
183,118,4,37,1190.0,1406,60,0.181,5.554,0.0,0
184,118,5,260,1184.046,1406,60,0.218,7.246,0.0,0
185,118,7,4,60.0,60,60,16.879,45.027,0.017,0
186,118,8,6,60.0,60,60,11.983,38.44,0.018,0
187,118,9,16,131.875,571,60,0.84,9.976,0.0,0
188,118,10,3,60.0,60,60,7.443,14.868,0.017,0
189,118,11,2,60.0,60,60,0.018,0.018,0.018,0
190,118,12,1,60.0,60,60,-1.0,-1.0,-1.0,0
191,118,13,11,282.273,1392,60,0.071,0.493,0.0,0
192,118,14,1,60.0,60,60,-1.0,-1.0,-1.0,0
193,118,15,6,79.667,172,60,0.308,1.215,0.0,0
194,118,16,5,91.2,184,66,0.067,0.133,0.0,0
195,118,17,7,161.857,383,60,10.996,25.372,0.077,0
196,118,18,2,124.0,124,124,42.303,42.303,42.303,1
197,118,19,6,77.0,77,77,7.396,36.781,0.029,0
198,118,20,7,77.0,77,77,6.109,36.361,0.03,0
199,118,21,45232,794.903,1514,60,0.002,0.217,0.0,2
200,118,27,1,60.0,60,60,-1.0,-1.0,-1.0,0
201,118,28,8,91.875,249,60,7.293,35.257,0.0,0
202,118,29,12,225.5,336,66,5.93,25.045,0.0,0
203,118,30,2,75.5,91,60,0.077,0.077,0.077,0
204,118,32,11,323.727,1326,60,0.022,0.043,0.0,0
205,118,33,4,84.5,103,66,20.07,59.934,0.076,0
206,118,34,3,66.0,66,66,0.557,0.558,0.556,0
207,118,35,88,1007.545,1406,60,0.157,9.322,0.0,0
208,118,36,4,60.0,60,60,0.932,2.721,0.037,0
209,118,38,7,114.0,186,60,10.022,10.035,10.016,0
210,118,39,10,236.6,1406,60,0.042,0.122,0.0,0
211,118,40,12,438.167,1406,60,0.083,0.357,0.0,0
212,118,41,1,60.0,60,60,-1.0,-1.0,-1.0,0
213,118,42,10,319.3,1315,60,0.06,0.128,0.001,0
214,118,43,4,107.25,123,60,15.028,30.011,0.092,0
215,118,44,4,78.5,97,60,0.161,0.296,0.092,0
216,118,45,2,78.5,97,60,0.094,0.094,0.094,0
217,118,46,7,60.0,60,60,10.02,10.022,10.019,0
218,118,48,33,64.485,74,60,2.092,8.302,0.237,0
219,118,49,10,97.8,186,60,6.68,10.021,0.007,0
220,118,50,32,71.562,110,60,2.108,5.008,0.02,0
221,118,51,33,71.758,110,60,2.098,5.002,0.0,0
222,118,52,20,104.1,186,60,3.223,8.902,0.006,0
223,118,53,2,60.0,60,60,0.027,0.027,0.027,0
224,118,54,2,60.0,60,60,0.018,0.018,0.018,0
225,118,72,14,441.571,1406,60,0.02,0.072,0.0,0
226,118,73,12,66.0,66,66,5.077,19.169,0.849,0
227,118,74,2,75.5,91,60,0.077,0.077,0.077,0
228,118,75,13,335.077,1406,60,0.019,0.062,0.0,0
229,118,76,4,77.0,91,60,0.148,0.282,0.046,0
