Time,MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
,True,28.286,5.014,5,"(63347,63389)","(68917,63441)","(66223,63562)","(99667,95343)","(128442,124752)","(90495,110393)"
,True,28.29,4.915,6,"(63341,63382)","(68903,63439)","(66209,63577)","(117522,99788)","(114018,103606)","(95505,117470)"
,True,28.281,4.782,9,"(63318,63455)","(68878,63511)","(66185,63668)","(129202,99056)","(98550,101452)","(114089,102423)"
,True,28.281,4.782,9,"(63318,63455)","(68878,63511)","(66185,63668)","(129202,99056)","(98550,101452)","(114089,102423)"
,True,28.287,4.718,5,"(63330,63435)","(68891,63486)","(66196,63651)","(129146,93145)","(97302,125414)","(103215,124163)"
,True,28.287,4.718,5,"(63330,63435)","(68891,63486)","(66196,63651)","(129146,93145)","(97302,125414)","(103215,124163)"
,True,28.287,4.721,5,"(63318,63434)","(68876,63487)","(66180,63642)","(104676,115797)","(124813,115704)","(104719,115475)"
,True,28.28,4.721,5,"(63317,63466)","(68876,63521)","(66177,63672)","(88016,96925)","(98771,116132)","(114819,118360)"
,True,28.288,4.721,5,"(63319,63435)","(68878,63490)","(66186,63659)","(96065,112304)","(67377,119476)","(100208,104670)"
,False,28.287,4.722,3,"(63289,63437)","(68849,63492)","(66151,63648)","(117665,116375)","(107571,116615)","(67382,120115)"
,False,28.287,4.722,3,"(63289,63437)","(68849,63492)","(66151,63648)","(117665,116375)","(107571,116615)","(67382,120115)"
,True,28.281,4.722,11,"(63286,63494)","(68846,63546)","(66151,63715)","(80006,100302)","(117867,105475)","(123452,107907)"
,True,28.288,4.722,6,"(63275,63456)","(68835,63512)","(66139,63670)","(108005,113927)","(46442,122650)","(94098,123756)"
,True,28.288,4.722,6,"(63275,63456)","(68835,63512)","(66139,63670)","(108005,113927)","(46442,122650)","(94098,123756)"
,False,28.285,4.722,5,"(63278,63469)","(68838,63526)","(66140,63678)","(116723,108416)","(92636,124551)","(53961,116596)"
,True,28.283,4.723,4,"(63278,63490)","(68836,63545)","(66141,63709)","(44171,108685)","(99899,119091)","(64374,111893)"
,True,28.287,4.723,9,"(63275,63446)","(68834,63503)","(66137,63656)","(100510,95449)","(129713,104161)","(119893,109161)"
,True,28.287,4.723,9,"(63275,63446)","(68834,63503)","(66137,63656)","(100510,95449)","(129713,104161)","(119893,109161)"
,False,28.285,4.726,4,"(63272,63464)","(68835,63522)","(66135,63672)","(107702,119667)","(116129,109426)","(75684,128028)"
,False,28.285,4.726,4,"(63272,63464)","(68835,63522)","(66135,63672)","(107702,119667)","(116129,109426)","(75684,128028)"
,True,28.283,4.728,6,"(63262,63490)","(68822,63545)","(66124,63711)","(101183,96482)","(102736,107864)","(86020,111022)"
,True,28.288,4.73,6,"(63258,63455)","(68820,63512)","(66119,63668)","(99978,105932)","(86612,107405)","(114740,125879)"
,True,28.288,4.73,6,"(63258,63455)","(68820,63512)","(66119,63668)","(99978,105932)","(86612,107405)","(114740,125879)"
,True,28.285,4.733,4,"(63251,63492)","(68812,63545)","(66112,63712)","(125426,119904)","(88816,114084)","(118976,118769)"
,True,28.286,4.735,8,"(63247,63485)","(68807,63541)","(66106,63709)","(90065,101761)","(98314,109670)","(102890,115316)"
,True,28.287,4.738,6,"(63248,63452)","(68806,63509)","(66107,63674)","(113575,112148)","(73933,119295)","(118622,127621)"
,True,28.283,4.74,4,"(63242,63485)","(68802,63541)","(66102,63710)","(71635,122450)","(128846,98851)","(105956,105724)"
,True,28.285,4.743,3,"(63244,63457)","(68803,63513)","(66105,63682)","(87507,104994)","(125934,108262)","(98182,109910)"
,True,28.287,4.745,7,"(63237,63462)","(68795,63517)","(66097,63683)","(56790,104489)","(69158,115477)","(86945,117910)"
