MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
True,-3.909,26.124,3,"(62332,61391)","(62789,65848)","(62106,70161)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-3.909,26.124,3,"(62332,61391)","(62789,65848)","(62106,70161)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-3.09,26.124,3,"(62873,61461)","(63342,65911)","(62644,70229)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-2.277,26.124,3,"(63102,61477)","(63571,65938)","(62872,70246)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-2.277,26.124,3,"(63102,61477)","(63571,65938)","(62872,70246)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-1.43,26.124,3,"(63196,61513)","(63674,65970)","(62959,70284)","(62963,70299)","(69367,70476)","(128541,76826)"
True,-1.43,26.124,3,"(63196,61513)","(63674,65970)","(62959,70284)","(62963,70299)","(69367,70476)","(128541,76826)"
True,-0.559,26.124,3,"(63171,61601)","(63627,66064)","(62933,70371)","(62908,70365)","(69367,70476)","(128541,76826)"
True,-0.559,26.124,3,"(63171,61601)","(63627,66064)","(62933,70371)","(62908,70365)","(69367,70476)","(128541,76826)"
True,0.304,26.124,3,"(63549,61568)","(64025,66026)","(63305,70337)","(63278,70351)","(69367,70476)","(128541,76826)"
True,0.304,26.124,3,"(63549,61568)","(64025,66026)","(63305,70337)","(63278,70351)","(69367,70476)","(128541,76826)"
True,1.169,26.124,3,"(64087,61615)","(64554,66080)","(63835,70385)","(63441,70366)","(69367,70476)","(128541,76826)"
True,1.169,26.124,3,"(64087,61615)","(64554,66080)","(63835,70385)","(63441,70366)","(69367,70476)","(128541,76826)"
True,2.02,26.124,3,"(65040,61586)","(65527,66045)","(64780,70355)","(64428,70379)","(69367,70476)","(128541,76826)"
True,2.857,26.124,3,"(66190,61582)","(66685,66043)","(65927,70351)","(65892,70309)","(65063,70366)","(128541,76826)"
True,2.857,26.124,3,"(66190,61582)","(66685,66043)","(65927,70351)","(65892,70309)","(65063,70366)","(128541,76826)"
True,3.684,26.124,3,"(67284,61555)","(67791,66018)","(67016,70323)","(67270,66005)","(66501,70306)","(128541,76826)"
True,4.525,26.114,3,"(68254,61561)","(68784,66021)","(67987,70323)","(67787,70371)","(66501,70306)","(128541,76826)"
True,4.525,26.114,3,"(68254,61561)","(68784,66021)","(67987,70323)","(67787,70371)","(66501,70306)","(128541,76826)"
True,5.437,26.075,3,"(68751,61498)","(69275,65952)","(68481,70250)","(68359,70305)","(66501,70306)","(128541,76826)"
True,6.264,26.038,3,"(68868,61484)","(69391,65933)","(68599,70231)","(68556,70226)","(66501,70306)","(128541,76826)"
True,6.264,26.038,3,"(68868,61484)","(69391,65933)","(68599,70231)","(68556,70226)","(66501,70306)","(128541,76826)"
True,7.158,25.979,3,"(68892,61454)","(69422,65897)","(68624,70185)","(68630,70204)","(66501,70306)","(128541,76826)"
True,7.954,25.878,4,"(82634,3101)","(68798,61321)","(69321,65750)","(68530,70018)","(69375,65737)","(68592,70008)"
True,7.954,25.878,4,"(82634,3101)","(68798,61321)","(69321,65750)","(68530,70018)","(69375,65737)","(68592,70008)"
True,8.774,25.702,3,"(69105,61332)","(69635,65735)","(68843,69988)","(68530,70018)","(69375,65737)","(68592,70008)"
True,9.543,25.499,3,"(69362,61273)","(69886,65644)","(69109,69869)","(68530,70018)","(69375,65737)","(68592,70008)"
True,9.543,25.499,3,"(69362,61273)","(69886,65644)","(69109,69869)","(68530,70018)","(69375,65737)","(68592,70008)"
True,10.306,25.307,3,"(69429,61285)","(69962,65630)","(69180,69833)","(69067,69945)","(69375,65737)","(68592,70008)"
True,10.306,25.307,3,"(69429,61285)","(69962,65630)","(69180,69833)","(69067,69945)","(69375,65737)","(68592,70008)"
True,11.037,25.107,3,"(69175,61278)","(69702,65596)","(68929,69772)","(68994,69769)","(69375,65737)","(68592,70008)"
True,11.037,25.107,3,"(69175,61278)","(69702,65596)","(68929,69772)","(68994,69769)","(69375,65737)","(68592,70008)"
True,11.815,24.904,3,"(68649,61302)","(69157,65594)","(68408,69744)","(68994,69769)","(69375,65737)","(68592,70008)"
True,11.815,24.904,3,"(68649,61302)","(69157,65594)","(68408,69744)","(68994,69769)","(69375,65737)","(68592,70008)"
True,12.543,24.691,3,"(68115,61327)","(68626,65587)","(67879,69715)","(68994,69769)","(69375,65737)","(68592,70008)"
True,12.543,24.691,3,"(68115,61327)","(68626,65587)","(67879,69715)","(68994,69769)","(69375,65737)","(68592,70008)"
True,13.247,24.454,3,"(67614,61399)","(68105,65633)","(67380,69726)","(68994,69769)","(69375,65737)","(68592,70008)"
True,13.915,24.214,3,"(67337,61493)","(67829,65691)","(67112,69759)","(68994,69769)","(69375,65737)","(68592,70008)"
True,13.915,24.214,3,"(67337,61493)","(67829,65691)","(67112,69759)","(68994,69769)","(69375,65737)","(68592,70008)"
True,14.591,23.95,3,"(67184,61703)","(67668,65873)","(66960,69904)","(68994,69769)","(69375,65737)","(68592,70008)"
True,15.134,23.669,3,"(67269,61847)","(67753,65979)","(67051,69979)","(68994,69769)","(69375,65737)","(68592,70008)"
True,15.134,23.669,3,"(67269,61847)","(67753,65979)","(67051,69979)","(68994,69769)","(69375,65737)","(68592,70008)"
True,16.233,22.999,3,"(67840,62248)","(68317,66306)","(67627,70229)","(68994,69769)","(69375,65737)","(68592,70008)"
True,16.78,22.632,3,"(68324,62375)","(68812,66396)","(68116,70268)","(68994,69769)","(69375,65737)","(68592,70008)"
True,16.78,22.632,3,"(68324,62375)","(68812,66396)","(68116,70268)","(68994,69769)","(69375,65737)","(68592,70008)"
True,17.274,22.257,3,"(68719,62406)","(69205,66379)","(68514,70215)","(68994,69769)","(69375,65737)","(68592,70008)"
